ID,Date,Description,Currency,Amount,Type,Tags,Account,Status,Memo,IOU
226900450,2025-08-15,"Toddler Standing Tower (Amazon.ca)",CAD,-79.26,Expense,"Banking & Finance / Shared,Shopping / Kiaan","Credit Card - Amazon",Cleared," "
226898699,2025-08-15,"Balance adjustment",CAD,-14.68,Transfer,,"Credit Card - RBC",Cleared," "
226898686,2025-08-15,"Balance adjustment",CAD,0.15,Transfer,,"Chequing + Savings - RBC",Cleared," "
215961535,2025-08-15,"Salary (Jobber)",CAD,4863.06,Income,"Banking & Finance / Salary,Banking & Finance","Chequing + Savings - RBC",Cleared," "
226898641,2025-08-14,"Fuel (Costco)",CAD,-44.76,Expense,"Vehicle and Transportation / Fuel","Credit Card - CIBC (Costco)",Cleared," "
226898493,2025-08-14,"Dinner (McDonalds)",CAD,-36.67,Expense,"Food and Beverages / Eating Out / Dinner,Banking & Finance / Shared","Credit Card - RBC",Cleared," "
226898492,2025-08-14,"Souvenir (Niagara)",CAD,-47.46,Expense,"Banking & Finance / Shared,Extended Family / Parent Visit (Summary 2025) / Niagara","Credit Card - RBC",Cleared," "
226898491,2025-08-14,"Souvenir (Niagara)",CAD,-87.73,Expense,"Banking & Finance / Shared,Extended Family / Parent Visit (Summary 2025) / Niagara","Credit Card - RBC",Cleared," "
226898490,2025-08-14,"Parking (Niagara)",CAD,-20,Expense,"Banking & Finance / Shared,Living / Red Diamond / Parking,Extended Family / Parent Visit (Summary 2025) / Niagara","Credit Card - RBC",Cleared," "
226898489,2025-08-14,"Snacks (Niagara)",CAD,-26.44,Expense,"Food and Beverages / Eating Out / Snacks,Banking & Finance / Shared,Extended Family / Parent Visit (Summary 2025) / Niagara","Credit Card - RBC",Cleared," "
226898488,2025-08-14,"Snacks (Niagara)",CAD,-10.01,Expense,"Food and Beverages / Eating Out / Snacks,Banking & Finance / Shared,Extended Family / Parent Visit (Summary 2025) / Niagara","Credit Card - RBC",Cleared," "
226898487,2025-08-14,"Parking (Niagara)",CAD,-36,Expense,"Banking & Finance / Shared,Living / Red Diamond / Parking,Extended Family / Parent Visit (Summary 2025) / Niagara","Credit Card - RBC",Cleared," "
226833115,2025-08-13,"Niagara Clifton Skywheel",CAD,-67.8,Expense,"Banking & Finance / Shared,Extended Family / Parent Visit (Summary 2025) / Niagara","Credit Card - RBC",Cleared," "
226833114,2025-08-13,"Niagara Cruise",CAD,-194.16,Expense,"Banking & Finance / Shared,Extended Family / Parent Visit (Summary 2025) / Niagara","Credit Card - RBC",Cleared," "
226822550,2025-08-13,"Baby Carrier (Amazon.ca) - Akhil's baby shower",CAD,-64.06,Expense,"Gifts,Shopping,Banking & Finance / Shared","Credit Card - Amazon",Cleared," "
215960647,2025-08-12,"Bell Payment",CAD,-153.68,Expense,"Living / Home - 193 Westbank Tr / Payments / Utilities","Joint Account - RBC",Cleared," "
226777188,2025-08-11,"Groceries (FreshCo)",CAD,-144.84,Expense,"Food and Beverages / Groceries,Banking & Finance / Shared","Credit Card - RBC",Cleared," "
215960797,2025-08-11,"Embridge Gas Payment",CAD,-88.82,Expense,"Living / Home - 193 Westbank Tr / Payments / Utilities","Joint Account - RBC",Cleared," "
226736283,2025-08-10,"Shopping (Puma) - Nangi shoes -  - Niagara Outlets",CAD,-67.79,Expense,"Shopping,Banking & Finance / Shared,Extended Family / Parent Visit (Summary 2025)","Credit Card - RBC",Cleared," "
226736282,2025-08-10,"Shopping (Carters) - Niagara Outlets - Akhil's baby shower",CAD,-17.55,Expense,"Gifts,Shopping,Banking & Finance / Shared","Credit Card - RBC",Cleared," "
226736281,2025-08-10,"Shopping (BathBodyWorks) - Niagara Outlets",CAD,-64.24,Expense,"Shopping,Banking & Finance / Shared,Extended Family / Parent Visit (Summary 2025)","Credit Card - RBC",Cleared," "
215961492,2025-08-10,"Reliance Payment",CAD,-40.77,Expense,"Living / Home - 193 Westbank Tr / Payments / Utilities","Joint Account - RBC",Cleared," "
226667524,2025-08-09,"Domain renewal - Squarespace (Play-pal.online)",CAD,-8.14,Expense,"Work / Narathota / Tech Services","Credit Card - RBC",Cleared," "
226664601,2025-08-09,"Groceries (Costco - Instacart)",CAD,-210.12,Expense,"Food and Beverages / Groceries","Credit Card - CIBC (Costco)",Cleared," "
226664617,2025-08-08,"Coffee (Tim Hortons)",CAD,-17.13,Expense,"Banking & Finance / Shared,Food and Beverages / Eating Out / Coffee - Tea,Extended Family / Parent Visit (Summary 2025)","Credit Card - RBC",Cleared," "
219339723,2025-08-08,"Mortgage Payment (Lump Sum)",CAD,-250,Expense,"Living / Home - 193 Westbank Tr / Payments / Mortgage / Lump Sum","Joint Account - RBC",Cleared," "
215961414,2025-08-08,"Mortgage Payment",CAD,-2142.98,Expense,"Living / Home - 193 Westbank Tr / Payments / Mortgage","Joint Account - RBC",Cleared," "
215960669,2025-08-08,"Car Payment",CAD,-447.04,Expense,"Living / Red Diamond / Payments / Car Payments","Joint Account - RBC",Cleared," "
226553006,2025-08-06,"Balance adjustment",CAD,4.12,Transfer,,"Chequing + Savings - RBC",Cleared," "
215960884,2025-08-06,"Joint Deposit - R",CAD,1000,Income,"Banking & Finance","Joint Account - RBC",Cleared," "
215960847,2025-08-06,"Joint Deposit - K",CAD,-3000,Transfer,"Banking & Finance","Chequing + Savings - RBC",Cleared," "
215960847,2025-08-06,"Joint Deposit - K",CAD,3000,Transfer,"Banking & Finance","Joint Account - RBC",Cleared," "
226504679,2025-08-05,"Groceries (Costco - Instacart)",CAD,-177,Expense,"Food and Beverages / Groceries","Credit Card - CIBC (Costco)",Cleared," "
226503062,2025-08-05,"Bed Rail (Amazon.ca)",CAD,-73.45,Expense,"Banking & Finance / Shared,Shopping / Kiaan","Credit Card - Amazon",Cleared," "
226505933,2025-08-04,"Dinner (Pizza Pizza) - Uber Eats",CAD,-39.43,Expense,"Food and Beverages / Eating Out / Dinner,Banking & Finance / Shared","Credit Card - RBC",Cleared," "
226466795,2025-08-03,"Parking (Toronto Island)",CAD,-47,Expense,"Food and Beverages / Eating Out / Lunch,Banking & Finance / Shared,Living / Red Diamond / Parking,Travel / Random Destinations,Extended Family / Parent Visit (Summary 2025) / Toronto Island","Credit Card - RBC",Cleared," "
226466767,2025-08-03,"Snack (Toronto Island)",CAD,-17,Expense,"Food and Beverages / Eating Out / Lunch,Banking & Finance / Shared,Travel / Random Destinations,Extended Family / Parent Visit (Summary 2025) / Toronto Island","Credit Card - RBC",Cleared," "
226466677,2025-08-03,"Lunch (Subway)",CAD,-51.49,Expense,"Food and Beverages / Eating Out / Lunch,Banking & Finance / Shared,Travel / Random Destinations,Extended Family / Parent Visit (Summary 2025) / Toronto Island","Credit Card - RBC",Cleared," "
226420342,2025-08-03,"Travel Pillow, Wood Putty (Amazon.ca)",CAD,-43.43,Expense,"Banking & Finance / Shared,Shopping / Household","Credit Card - Amazon",Cleared," "
226399074,2025-08-02,"Ferry fee (Toronto Island)",CAD,-29.94,Expense,"Banking & Finance / Shared,Travel / Random Destinations,Extended Family / Parent Visit (Summary 2025) / Toronto Island","Credit Card - RBC",Cleared," "
226420448,2025-08-01,"Groceries (Sobeys)",CAD,-25.24,Expense,"Food and Beverages / Groceries,Banking & Finance / Shared","Credit Card - RBC",Cleared," "
226420447,2025-08-01,"Shopping (Home Depot)",CAD,-108.91,Expense,"Banking & Finance / Shared,Shopping / Household","Credit Card - RBC",Cleared," "
226286277,2025-07-31,"Amma's Blouse (Amazon.ca)",CAD,-3.14,Expense,"Gifts,Shopping,Banking & Finance / Shared,Extended Family / Parent Visit (Summary 2025) / Toronto Island","Credit Card - Amazon",Cleared," "
